0	00000011011
1	00100111111
2	00200211211
3	00300311311
4	00400411411
5	00500511511
6	00600611611
7	00700711711
8	00800811811
9	00900911911
!	HH!HH!OO!OO
&	HH&HH&OO&OO
?	HH?HH?OO?OO
A	HHAHHAOOAOO
B	HHBHHBOOBOO
C	HHCHHCOOCOO
D	HHDHHDOODOO
E	HHEHHEOOEOO
F	HHFHHFOOFOO
G	HHGHHGOOGOO
H	HHHHHHOOHOO
I	HHIHHIOOIOO
J	HHJHHJOOJOO
K	HHKHHKOOKOO
L	HHLHHLOOLOO
M	HHMHHMOOMOO
N	HHNHHNOONOO
O	HHOHHOOOOOO
P	HHPHHPOOPOO
Q	HHQHHQOOQOO
R	HHRHHROOROO
S	HHSHHSOOSOO
T	HHTHHTOOTOO
U	HHUHHUOOUOO
V	HHVHHVOOVOO
W	HHWHHWOOWOO
X	HHXHHXOOXOO
Y	HHYHHYOOYOO
Z	HHZHHZOOZOO
'	nn'nn'oo'oo
(	nn(nn(oo(oo
,	nn,nn,oo,oo
-	nn-nn-oo-oo
.	nn.nn.oo.oo
/	nn/nn/oo/oo
[	nn[nn[oo[oo
_	nn_nn_oo_oo
a	nnannaooaoo
b	nnbnnbooboo
c	nncnncoocoo
d	nndnndoodoo
e	nnenneooeoo
f	nnfnnfoofoo
g	nngnngoogoo
h	nnhnnhoohoo
i	nninniooioo
j	nnjnnjoojoo
k	nnknnkookoo
l	nnlnnlooloo
m	nnmnnmoomoo
n	nnnnnnoonoo
o	nnonnoooooo
p	nnpnnpoopoo
q	nnqnnqooqoo
r	nnrnnrooroo
s	nnsnnsoosoo
t	nntnntootoo
u	nnunnuoouoo
v	nnvnnvoovoo
w	nnwnnwoowoo
x	nnxnnxooxoo
y	nnynnyooyoo
z	nnznnzoozoo
{	nn{nn{oo{oo
|	nn|nn|oo|oo
–	nn–nn–oo–oo
—	nn—nn—oo—oo
‹	nn‹nn‹oo‹oo
