A	HHAHHAOOAOO
B	HHBHHBOOBOO
C	HHCHHCOOCOO
D	HHDHHDOODOO
E	HHEHHEOOEOO
F	HHFHHFOOFOO
G	HHGHHGOOGOO
H	HHHHHHOOHOO
I	HHIHHIOOIOO
J	HHJHHJOOJOO
K	HHKHHKOOKOO
L	HHLHHLOOLOO
M	HHMHHMOOMOO
N	HHNHHNOONOO
O	HHOHHOOOOOO
P	HHPHHPOOPOO
Q	HHQHHQOOQOO
R	HHRHHROOROO
S	HHSHHSOOSOO
T	HHTHHTOOTOO
U	HHUHHUOOUOO
V	HHVHHVOOVOO
W	HHWHHWOOWOO
X	HHXHHXOOXOO
Y	HHYHHYOOYOO
Z	HHZHHZOOZOO
a	nnannaooaoo
b	nnbnnbooboo
c	nncnncoocoo
d	nndnndoodoo
e	nnenneooeoo
f	nnfnnfoofoo
g	nngnngoogoo
h	nnhnnhoohoo
i	nninniooioo
j	nnjnnjoojoo
k	nnknnkookoo
l	nnlnnlooloo
m	nnmnnmoomoo
n	nnnnnnoonoo
o	nnonnoooooo
p	nnpnnpoopoo
q	nnqnnqooqoo
r	nnrnnrooroo
s	nnsnnsoosoo
t	nntnntootoo
u	nnunnuoouoo
v	nnvnnvoovoo
w	nnwnnwoowoo
x	nnxnnxooxoo
y	nnynnyooyoo
z	nnznnzoozoo
