!	HH!HH!OO!OO
&	HH&HH&OO&OO
(	HH(HH(OO(OO
/	HH/HH/OO/OO
0	HH0HH0OO0OO
1	HH1HH1OO1OO
2	HH2HH2OO2OO
3	HH3HH3OO3OO
4	HH4HH4OO4OO
5	HH5HH5OO5OO
6	HH6HH6OO6OO
7	HH7HH7OO7OO
8	HH8HH8OO8OO
9	HH9HH9OO9OO
?	HH?HH?OO?OO
A	HHAHHAOOAOO
B	HHBHHBOOBOO
C	HHCHHCOOCOO
D	HHDHHDOODOO
E	HHEHHEOOEOO
F	HHFHHFOOFOO
G	HHGHHGOOGOO
H	HHHHHHOOHOO
I	HHIHHIOOIOO
J	HHJHHJOOJOO
K	HHKHHKOOKOO
L	HHLHHLOOLOO
M	HHMHHMOOMOO
N	HHNHHNOONOO
O	HHOHHOOOOOO
P	HHPHHPOOPOO
Q	HHQHHQOOQOO
R	HHRHHROOROO
S	HHSHHSOOSOO
T	HHTHHTOOTOO
U	HHUHHUOOUOO
V	HHVHHVOOVOO
W	HHWHHWOOWOO
X	HHXHHXOOXOO
Y	HHYHHYOOYOO
Z	HHZHHZOOZOO
[	HH[HH[OO[OO
{	HH{HH{OO{OO
|	HH|HH|OO|OO
'	nn'nn'oo'oo
,	nn,nn,oo,oo
-	nn-nn-oo-oo
.	nn.nn.oo.oo
_	nn_nn_oo_oo
a	nnannaooaoo
b	nnbnnbooboo
c	nncnncoocoo
d	nndnndoodoo
e	nnenneooeoo
f	nnfnnfoofoo
g	nngnngoogoo
h	nnhnnhoohoo
i	nninniooioo
j	nnjnnjoojoo
k	nnknnkookoo
l	nnlnnlooloo
m	nnmnnmoomoo
n	nnnnnnoonoo
o	nnonnoooooo
p	nnpnnpoopoo
q	nnqnnqooqoo
r	nnrnnrooroo
s	nnsnnsoosoo
t	nntnntootoo
u	nnunnuoouoo
v	nnvnnvoovoo
w	nnwnnwoowoo
x	nnxnnxooxoo
y	nnynnyooyoo
z	nnznnzoozoo
–	nn–nn–oo–oo
—	nn—nn—oo—oo
‹	nn‹nn‹oo‹oo
