Var Instance Family Name,Var Instance Style Name,Combined Length,Style Length,Static Family Name,Static Style Name,postscript,ps length,familymap,stylemap,family_len,style_len,combined_len
Fraunces,9 G0 Thin,17,9,Fraunces 9 G0,Thin,Fraunces9G0-Thin,16,Fraunces 9 G0 Thin,Regular,18,7,25
Fraunces,9 G0 Thin Italic,24,16,Fraunces 9 G0,Thin Italic,Fraunces9G0-ThinItalic,22,Fraunces 9 G0 Thin,Italic,18,6,24
Fraunces,9 G0 Light,18,10,Fraunces 9 G0,Light,Fraunces9G0-Light,17,Fraunces 9 G0 Light,Regular,19,7,26
Fraunces,9 G0 Light Italic,25,17,Fraunces 9 G0,Light Italic,Fraunces9G0-LightItalic,23,Fraunces 9 G0 Light,Italic,19,6,25
Fraunces,9 G0 Regular,20,12,Fraunces 9 G0,Regular,Fraunces9G0-Regular,19,Fraunces 9 G0,Regular,13,7,20
Fraunces,9 G0 Italic,19,11,Fraunces 9 G0,Italic,Fraunces9G0-Italic,18,Fraunces 9 G0,Italic,13,6,19
Fraunces,9 G0 Semibold,21,13,Fraunces 9 G0,Semibold,Fraunces9G0-Semibold,20,Fraunces 9 G0 Semibold,Regular,22,7,29
Fraunces,9 G0 Semibold Italic,28,20,Fraunces 9 G0,Semibold Italic,Fraunces9G0-SemiboldItalic,26,Fraunces 9 G0 Semibold,Italic,22,6,28
Fraunces,9 G0 Bold,17,9,Fraunces 9 G0,Bold,Fraunces9G0-Bold,16,Fraunces 9 G0,Bold,13,4,17
Fraunces,9 G0 Bold Italic,24,16,Fraunces 9 G0,Bold Italic,Fraunces9G0-BoldItalic,22,Fraunces 9 G0,Bold Italic,13,11,24
Fraunces,9 G0 Black,18,10,Fraunces 9 G0,Black,Fraunces9G0-Black,17,Fraunces 9 G0 Black,Regular,19,7,26
Fraunces,9 G0 Black Italic,25,17,Fraunces 9 G0,Black Italic,Fraunces9G0-BlackItalic,23,Fraunces 9 G0 Black,Italic,19,6,25
Fraunces,9 G50 Thin,18,10,Fraunces 9 G50,Thin,Fraunces9G50-Thin,17,Fraunces 9 G50 Thin,Regular,19,7,26
Fraunces,9 G50 Thin Italic,25,17,Fraunces 9 G50,Thin Italic,Fraunces9G50-ThinItalic,23,Fraunces 9 G50 Thin,Italic,19,6,25
Fraunces,9 G50 Light,19,11,Fraunces 9 G50,Light,Fraunces9G50-Light,18,Fraunces 9 G50 Light,Regular,20,7,27
Fraunces,9 G50 Light Italic,26,18,Fraunces 9 G50,Light Italic,Fraunces9G50-LightItalic,24,Fraunces 9 G50 Light,Italic,20,6,26
Fraunces,9 G50 Regular,21,13,Fraunces 9 G50,Regular,Fraunces9G50-Regular,20,Fraunces 9 G50,Regular,14,7,21
Fraunces,9 G50 Italic,20,12,Fraunces 9 G50,Italic,Fraunces9G50-Italic,19,Fraunces 9 G50,Italic,14,6,20
Fraunces,9 G50 Semibold,22,14,Fraunces 9 G50,Semibold,Fraunces9G50-Semibold,21,Fraunces 9 G50 Semibold,Regular,23,7,30
Fraunces,9 G50 Semibold Italic,29,21,Fraunces 9 G50,Semibold Italic,Fraunces9G50-SemiboldItalic,27,Fraunces 9 G50 Semibold,Italic,23,6,29
Fraunces,9 G50 Bold,18,10,Fraunces 9 G50,Bold,Fraunces9G50-Bold,17,Fraunces 9 G50,Bold,14,4,18
Fraunces,9 G50 Bold Italic,25,17,Fraunces 9 G50,Bold Italic,Fraunces9G50-BoldItalic,23,Fraunces 9 G50,Bold Italic,14,11,25
Fraunces,9 G50 Black,19,11,Fraunces 9 G50,Black,Fraunces9G50-Black,18,Fraunces 9 G50 Black,Regular,20,7,27
Fraunces,9 G50 Black Italic,26,18,Fraunces 9 G50,Black Italic,Fraunces9G50-BlackItalic,24,Fraunces 9 G50 Black,Italic,20,6,26
Fraunces,9 G100 Thin,19,11,Fraunces 9 G100,Thin,Fraunces9G100-Thin,18,Fraunces 9 G100 Thin,Regular,20,7,27
Fraunces,9 G100 Thin Italic,26,18,Fraunces 9 G100,Thin Italic,Fraunces9G100-ThinItalic,24,Fraunces 9 G100 Thin,Italic,20,6,26
Fraunces,9 G100 Light,20,12,Fraunces 9 G100,Light,Fraunces9G100-Light,19,Fraunces 9 G100 Light,Regular,21,7,28
Fraunces,9 G100 Light Italic,27,19,Fraunces 9 G100,Light Italic,Fraunces9G100-LightItalic,25,Fraunces 9 G100 Light,Italic,21,6,27
