Var Instance Family Name,Var Instance Style Name,Combined Length,Style Length,Static Family Name,Static Style Name,postscript,ps length,familymap,stylemap,family_len,style_len,combined_len
Fraunces,9pt Sharp Thin,21,13,Fraunces 9pt Sharp,Thin,Fraunces9ptSharp-Thin,20,Fraunces 9pt Sharp Thin,Regular,22,7,29
Fraunces,9pt Sharp Thin Italic,28,20,Fraunces 9pt Sharp,Thin Italic,Fraunces9ptSharp-ThinItalic,26,Fraunces 9pt Sharp Thin,Italic,22,6,28
Fraunces,9pt Sharp Light,22,14,Fraunces 9pt Sharp,Light,Fraunces9ptSharp-Light,21,Fraunces 9pt Sharp Light,Regular,23,7,30
Fraunces,9pt Sharp Light Italic,29,21,Fraunces 9pt Sharp,Light Italic,Fraunces9ptSharp-LightItalic,27,Fraunces 9pt Sharp Light,Italic,23,6,29
Fraunces,9pt Sharp Regular,24,16,Fraunces 9pt Sharp,Regular,Fraunces9ptSharp-Regular,23,Fraunces 9pt Sharp,Regular,17,7,24
Fraunces,9pt Sharp Italic,23,15,Fraunces 9pt Sharp,Italic,Fraunces9ptSharp-Italic,22,Fraunces 9pt Sharp,Italic,17,6,23
Fraunces,9pt Sharp SemiBold,25,17,Fraunces 9pt Sharp,SemiBold,Fraunces9ptSharp-SemiBold,24,Fraunces 9pt Sharp SemiBold,Regular,22,7,29
Fraunces,9pt Sharp SemiBold Italic,32,24,Fraunces 9pt Sharp,SemiBold Italic,Fraunces9ptSharp-SemiBoldItalic,28,Fraunces 9pt Sharp SemiBold,Italic,24,6,30
Fraunces,9pt Sharp Bold,21,13,Fraunces 9pt Sharp,Bold,Fraunces9ptSharp-Bold,20,Fraunces 9pt Sharp,Bold,17,4,21
Fraunces,9pt Sharp Bold Italic,28,20,Fraunces 9pt Sharp,Bold Italic,Fraunces9ptSharp-BoldItalic,26,Fraunces 9pt Sharp,Bold Italic,17,11,28
Fraunces,9pt Sharp Black,22,14,Fraunces 9pt Sharp,Black,Fraunces9ptSharp-Black,21,Fraunces 9pt Sharp Black,Regular,23,7,30
Fraunces,9pt Sharp Black Italic,29,21,Fraunces 9pt Sharp,Black Italic,Fraunces9ptSharp-BlackItalic,27,Fraunces 9pt Sharp Black,Italic,23,6,29
Fraunces,9pt Soft Thin,21,13,Fraunces 9pt Soft,Thin,Fraunces9ptSoft-Thin,20,Fraunces 9pt Soft Thin,Regular,22,7,29
