#KPL:P: UC_to_UC
A A
B A
C A
E A
F A
A H
H A
A J
K A
L A
A O
O A
P A
R A
A S
S A
A T
T A
A U
U A
A V
V A
A X
X A
A Y
Y A
A Z
Z A
B H
B J
B O
B S
B T
B U
B V
B X
B Y
B Z
C H
C J
C O
C S
C T
C U
C V
C X
C Y
C Z
E H
E J
E O
E S
E T
E U
E V
E X
E Y
E Z
F H
F J
F O
F S
F T
F U
F V
F X
F Y
F Z
H H
H J
K H
L H
H O
O H
P H
R H
H S
S H
H T
T H
H U
U H
H V
V H
H X
X H
H Y
Y H
H Z
Z H
K J
L J
O J
P J
R J
S J
T J
U J
V J
X J
Y J
Z J
K O
K S
K T
K U
K V
K X
K Y
K Z
L O
L S
L T
L U
L V
L X
L Y
L Z
O O
P O
R O
O S
S O
O T
T O
O U
U O
O V
V O
O X
X O
O Y
Y O
O Z
Z O
P S
P T
P U
P V
P X
P Y
P Z
R S
R T
R U
R V
R X
R Y
R Z
S S
S T
T S
S U
U S
S V
V S
S X
X S
S Y
Y S
S Z
Z S
T T
T U
U T
T V
V T
T X
X T
T Y
Y T
T Z
Z T
U U
U V
V U
U X
X U
U Y
Y U
U Z
Z U
V V
V X
X V
V Y
Y V
V Z
Z V
X X
X Y
Y X
X Z
Z X
Y Y
Y Z
Z Y
Z Z
