#KPL:P: UC_to_lc
A a
a A
c A
A f
f A
A g
g A
i A
A j
j A
k A
A l
l A
A n
n A
A o
o A
A p
q A
r A
A s
s A
A t
t A
A u
A v
v A
A x
x A
A z
z A
germandbls A
mu.math A
n.alt A
B a
B f
B g
B j
B l
B n
B o
B p
B s
B t
B u
B v
B x
B z
C a
C f
C g
C j
C l
C n
C o
C p
C s
C t
C u
C v
C x
C z
E a
E f
E g
E j
E l
E n
E o
E p
E s
E t
E u
E v
E x
E z
F a
F f
F g
F j
F l
F n
F o
F p
F s
F t
F u
F v
F x
F z
H a
a H
c H
H f
f H
H g
g H
i H
H j
j H
k H
H l
l H
H n
n H
H o
o H
H p
q H
r H
H s
s H
H t
t H
H u
H v
v H
H x
x H
H z
z H
germandbls H
mu.math H
n.alt H
a J
c J
f J
g J
i J
j J
k J
l J
n J
o J
q J
r J
s J
t J
v J
x J
z J
germandbls J
mu.math J
n.alt J
K a
K f
K g
K j
K l
K n
K o
K p
K s
K t
K u
K v
K x
K z
L a
L f
L g
L j
L l
L n
L o
L p
L s
L t
L u
L v
L x
L z
O a
a O
c O
O f
f O
O g
g O
i O
O j
j O
k O
O l
l O
O n
n O
O o
o O
O p
q O
r O
O s
s O
O t
t O
O u
O v
v O
O x
x O
O z
z O
germandbls O
mu.math O
n.alt O
P a
P f
P g
P j
P l
P n
P o
P p
P s
P t
P u
P v
P x
P z
R a
R f
R g
R j
R l
R n
R o
R p
R s
R t
R u
R v
R x
R z
S a
a S
c S
S f
f S
S g
g S
i S
S j
j S
k S
S l
l S
S n
n S
S o
o S
S p
q S
r S
S s
s S
S t
t S
S u
S v
v S
S x
x S
S z
z S
germandbls S
mu.math S
n.alt S
T a
a T
c T
T f
f T
T g
g T
i T
T j
j T
k T
T l
l T
T n
n T
T o
o T
T p
q T
r T
T s
s T
T t
t T
T u
T v
v T
T x
x T
T z
z T
germandbls T
mu.math T
n.alt T
U a
a U
c U
U f
f U
U g
g U
i U
U j
j U
k U
U l
l U
U n
n U
U o
o U
U p
q U
r U
U s
s U
U t
t U
U u
U v
v U
U x
x U
U z
z U
germandbls U
mu.math U
n.alt U
V a
a V
c V
V f
f V
V g
g V
i V
V j
j V
k V
V l
l V
V n
n V
V o
o V
V p
q V
r V
V s
s V
V t
t V
V u
V v
v V
V x
x V
V z
z V
germandbls V
mu.math V
n.alt V
X a
a X
c X
X f
f X
X g
g X
i X
X j
j X
k X
X l
l X
X n
n X
X o
o X
X p
q X
r X
X s
s X
X t
t X
X u
X v
v X
X x
x X
X z
z X
germandbls X
mu.math X
n.alt X
Y a
a Y
c Y
Y f
f Y
Y g
g Y
i Y
Y j
j Y
k Y
Y l
l Y
Y n
n Y
Y o
o Y
Y p
q Y
r Y
Y s
s Y
Y t
t Y
Y u
Y v
v Y
Y x
x Y
Y z
z Y
germandbls Y
mu.math Y
n.alt Y
Z a
a Z
c Z
Z f
f Z
Z g
g Z
i Z
Z j
j Z
k Z
Z l
l Z
Z n
n Z
Z o
o Z
Z p
q Z
r Z
Z s
s Z
Z t
t Z
Z u
Z v
v Z
Z x
x Z
Z z
z Z
germandbls Z
mu.math Z
n.alt Z
Thorn a
Thorn f
Thorn g
Thorn j
Thorn l
Thorn n
Thorn o
Thorn p
Thorn s
Thorn t
Thorn u
Thorn v
Thorn x
Thorn z
IJ a
IJ f
IJ g
IJ j
IJ l
IJ n
IJ o
IJ p
IJ s
IJ t
IJ u
IJ v
IJ x
IJ z
Germandbls a
Germandbls f
Germandbls g
Germandbls j
Germandbls l
Germandbls n
Germandbls o
Germandbls p
Germandbls s
Germandbls t
Germandbls u
Germandbls v
Germandbls x
Germandbls z
ampersand a
a ampersand
c ampersand
ampersand f
f ampersand
ampersand g
g ampersand
i ampersand
ampersand j
j ampersand
k ampersand
ampersand l
l ampersand
ampersand n
n ampersand
ampersand o
o ampersand
ampersand p
q ampersand
r ampersand
ampersand s
s ampersand
ampersand t
t ampersand
ampersand u
ampersand v
v ampersand
ampersand x
x ampersand
ampersand z
z ampersand
germandbls ampersand
mu.math ampersand
n.alt ampersand
a Jacute
c Jacute
f Jacute
g Jacute
i Jacute
j Jacute
k Jacute
l Jacute
n Jacute
o Jacute
q Jacute
r Jacute
s Jacute
t Jacute
v Jacute
x Jacute
z Jacute
germandbls Jacute
mu.math Jacute
n.alt Jacute
ampersand.alt a
a ampersand.alt
c ampersand.alt
ampersand.alt f
f ampersand.alt
ampersand.alt g
g ampersand.alt
i ampersand.alt
ampersand.alt j
j ampersand.alt
k ampersand.alt
ampersand.alt l
l ampersand.alt
ampersand.alt n
n ampersand.alt
ampersand.alt o
o ampersand.alt
ampersand.alt p
q ampersand.alt
r ampersand.alt
ampersand.alt s
s ampersand.alt
ampersand.alt t
t ampersand.alt
ampersand.alt u
ampersand.alt v
v ampersand.alt
ampersand.alt x
x ampersand.alt
ampersand.alt z
z ampersand.alt
germandbls ampersand.alt
mu.math ampersand.alt
n.alt ampersand.alt
