#KPL:P: lc_to_lc
a a
c a
a f
f a
a g
g a
a i
i a
a j
j a
k a
a l
l a
a n
n a
n.alt a
a o
o a
a p
q a
r a
a s
s a
a t
t a
a u
a v
v a
a x
x a
a z
z a
c f
c g
c i
c j
c l
c n
c o
c p
c s
c t
c u
c v
c x
c z
f f
f g
g f
f i
i f
f j
j f
k f
f l
l f
f n
n f
n.alt f
f o
o f
f p
q f
r f
f s
s f
f t
t f
f u
f v
v f
f x
x f
f z
z f
g g
g i
i g
g j
j g
k g
g l
l g
g n
n g
n.alt g
g o
o g
g p
q g
r g
g s
s g
g t
t g
g u
g v
v g
g x
x g
g z
z g
i i
i j
j i
k i
i l
l i
i n
n i
n.alt i
i o
o i
i p
q i
r i
i s
s i
i t
t i
i u
i v
v i
i x
x i
i z
z i
j j
k j
j l
l j
j n
n j
n.alt j
j o
o j
j p
q j
r j
j s
s j
j t
t j
j u
j v
v j
j x
x j
j z
z j
k l
k n
k o
k p
k s
k t
k u
k v
k x
k z
l l
l n
n l
n.alt l
l o
o l
l p
q l
r l
l s
s l
l t
t l
l u
l v
v l
l x
x l
l z
z l
n n
n.alt n
n o
o n
n p
q n
r n
n s
s n
n t
t n
n u
n v
v n
n x
x n
n z
z n
n.alt o
n.alt p
n.alt s
n.alt t
n.alt u
n.alt v
n.alt x
n.alt z
o o
o p
q o
r o
o s
s o
o t
t o
o u
o v
v o
o x
x o
o z
z o
q p
r p
s p
t p
v p
x p
z p
q s
q t
q u
q v
q x
q z
r s
r t
r u
r v
r x
r z
s s
s t
t s
s u
s v
v s
s x
x s
s z
z s
t t
t u
t v
v t
t x
x t
t z
z t
v u
x u
z u
v v
v x
x v
v z
z v
x x
x z
z x
z z
