#KPL:P: Fraunces_Italic_Basic_lctolc
d.alt b
d.alt b.alt
d.alt h.alt
d.alt j
d.alt l
d.alt n
d.alt o
d.alt p
d.alt t
d.alt v
f b
f b.alt
f h.alt
f j
f l
f n
f o
f p
f t
f v
g b
g b.alt
g h.alt
g j
g l
g n
g o
g p
g t
g v
k.alt b
k.alt b.alt
k.alt h.alt
k.alt j
k.alt l
k.alt n
k.alt o
k.alt p
k.alt t
k.alt v
l b
l b.alt
l h.alt
l j
l l
l n
l o
l p
l t
l v
n b
n b.alt
n h.alt
n j
n l
n n
n o
n p
n t
n v
o b
o b.alt
o h.alt
o j
o l
o n
o o
o p
o t
o v
q b
q b.alt
q h.alt
q j
q l
q n
q o
q p
q t
q v
r b
r b.alt
r h.alt
r j
r l
r n
r o
r p
r t
r v
t b
t b.alt
t h.alt
t j
t l
t n
t o
t p
t t
t v
v b
v b.alt
v h.alt
v j
v l
v n
v o
v p
v t
v v
