#KPL:P: punct_to_punct
period period
period colon
colon period
period semicolon
semicolon period
period quotedblleft
quotedblleft period
period apostrophemod
apostrophemod period
colon colon
colon semicolon
semicolon colon
colon quotedblleft
quotedblleft colon
colon apostrophemod
apostrophemod colon
semicolon semicolon
semicolon quotedblleft
quotedblleft semicolon
semicolon apostrophemod
apostrophemod semicolon
quotedblleft quotedblleft
quotedblleft apostrophemod
apostrophemod quotedblleft
apostrophemod apostrophemod
